steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
11336,538060,Doodle God: 8-bit Mania - Collector's Item,2016-11-18,1,JoyBits Ltd.,JoyBits Ltd.,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Casual;Indie;Simulation,Casual;Indie;Simulation,9,61,54,274,274,20000-50000,14.99,https://steamcdn-a.akamaihd.net/steam/apps/538060/header.jpg?t=1508513276,https://steamcdn-a.akamaihd.net/steam/apps/538060/page_bg_generated_v6b.jpg?t=1508513276,Every Element &amp; Reaction Have Been Beautifully Redrawn with this amazing 8-bit skin to original Doodle God. If You Loved Doodle God - try this unique version of one of the most original games in the world.
9757,495980,Selma and the Wisp,2016-08-04,1,Toucan Studio,Toucan Studio,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Casual;Indie,Indie;Adventure;Casual,26,95,32,0,0,0-20000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/495980/header.jpg?t=1513936798,https://steamcdn-a.akamaihd.net/steam/apps/495980/page_bg_generated_v6b.jpg?t=1513936798,"Selma and the Wisp is an astonishing platform game with a particularly eerie feel to it. Densely packed with logical puzzles and unexpected obstacles, the game incorporates innovative gameplay, low-poly models and an spectacular animations."
19254,769440,Beach Restaurant,2018-01-09,1,OnBlind,OnBlind,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie;Simulation,Simulation;Indie;Casual,19,21,26,0,0,20000-50000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/769440/header.jpg?t=1539904395,https://steamcdn-a.akamaihd.net/steam/apps/769440/page_bg_generated_v6b.jpg?t=1539904395,"Your task is to serve the orders of arriving tourists. Each order is unique, here you have a burger and cheeseburger, and soda and coffee."
7217,414740,RAID: World War II,2017-09-26,1,Lion game Lion,Starbreeze Publishing AB,windows,18,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support,Violent;Gore;Action;Adventure;RPG,Action;World War II;FPS,82,888,806,279,279,20000-50000,15.49,https://steamcdn-a.akamaihd.net/steam/apps/414740/header.jpg?t=1518429975,https://steamcdn-a.akamaihd.net/steam/apps/414740/page_bg_generated_v6b.jpg?t=1518429975,"RAID: World War II is an action-packed four player cooperative shooter set during a time when the Nazi war machine was still winning, and hope was in short supply."
3081,295850,Vlad the Impaler,2014-07-16,1,Section Studios,Section Studios,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie;RPG,RPG;Visual Novel;Adventure,30,258,110,0,0,20000-50000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/295850/header.jpg?t=1447361508,https://steamcdn-a.akamaihd.net/steam/apps/295850/page_bg_generated_v6b.jpg?t=1447361508,"A city gone mad with violence and the mass murder of its people. In this interactive graphic-novel, your choices can either lead you to the ultimate destruction of this fallen metropolis, or the demise of a vicious butcher. Will you save this city as promised or will you fall prey to the killer within?"
9480,488350,The Karters,2018-06-07,1,10Ants Hill,10Ants Hill,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Partial Controller Support,Action;Indie;Racing;Early Access,Early Access;Racing;Indie,0,22,47,0,0,0-20000,15.49,https://steamcdn-a.akamaihd.net/steam/apps/488350/header.jpg?t=1528835916,https://steamcdn-a.akamaihd.net/steam/apps/488350/page_bg_generated_v6b.jpg?t=1528835916,"The Karters is an arcade karting game, inspired by Crash Team Racing’s gameplay, dynamics, and overall design. Compete and challenge your friends in a local or global multiplayer where only one can win. Pick one of the thrilling maps and try to find alternative routes to outsmart your rivals and get the gold!"
15291,658260,BLUE REFLECTION / BLUE REFLECTION　幻に舞う少女の剣,2017-09-26,1,"KOEI TECMO GAMES CO. LTD.","KOEI TECMO GAMES CO. LTD.",windows,0,Single-player;Steam Achievements;Partial Controller Support,RPG,RPG;Anime;Female Protagonist,47,356,84,0,0,0-20000,49.99,https://steamcdn-a.akamaihd.net/steam/apps/658260/header.jpg?t=1550186406,https://steamcdn-a.akamaihd.net/steam/apps/658260/page_bg_generated_v6b.jpg?t=1550186406,"A clear summer sky spreads over the Hoshinomiya Girls' High School. This story begins with the belated start of school life for Hinako Shirai, who has just recovered from a leg injury due to a tragic accident. The magical sisters Yuzu and Lime bestowed to her a special power to become a &quot;Reflector&quot;."
62,2520,Gumboy - Crazy Adventures™,2006-12-19,1,"CINEMAX s.r.o.","CINEMAX s.r.o.",windows,0,Single-player,Casual;Indie,Casual;Indie;Singleplayer,0,52,46,0,0,50000-100000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/2520/header.jpg?t=1529320674,https://steamcdn-a.akamaihd.net/steam/apps/2520/page_bg_generated_v6b.jpg?t=1529320674,"Gumboy has fun and novel gameplay set in a richly imagined world. With simple game controls, Gumboy lets the player bounce, roll, float, and fly through the world. Additionally, Gumboy can change size, shape and material."
21032,819870,7 Days in Dream 光尘,2018-05-14,0,0Cube,0Cube,windows,0,Single-player;Partial Controller Support,Adventure;Casual;Indie;RPG;Simulation;Strategy,Adventure;RPG;Indie,0,30,1,0,0,0-20000,2.09,https://steamcdn-a.akamaihd.net/steam/apps/819870/header.jpg?t=1547467327,https://steamcdn-a.akamaihd.net/steam/apps/819870/page_bg_generated_v6b.jpg?t=1547467327,梦一场，爱一生 梦与现实间的7天里，真相与隐情逐渐浮出水面，再一次鼓起勇气拥抱爱！
24962,951420,Refraction,2019-02-19,1,Zilby,Zilby,windows;mac;linux,0,Single-player;Multi-player;Local Multi-Player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie,28,1,0,0,0,0-20000,2.89,https://steamcdn-a.akamaihd.net/steam/apps/951420/header.jpg?t=1550648902,https://steamcdn-a.akamaihd.net/steam/apps/951420/page_bg_generated_v6b.jpg?t=1550648902,"Refraction is a top-down, arena action game where you use quick reflexes to take down hordes of enemies. You must rely on your skill and your wit as you fight to survive, in the hope that you can live long enough to take down the core of all corruption."
