steamid,appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,header_image,background,short_description
5380,363670,Seeders,2015-08-21,1,Bigosaur,Bigosaur,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Full controller support;Steam Trading Cards,Indie,Indie;Puzzle;Puzzle-Platformer,0,18,13,0,0,0-20000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/363670/header.jpg?t=1541187957,https://steamcdn-a.akamaihd.net/steam/apps/363670/page_bg_generated_v6b.jpg?t=1541187957,Seeders is a puzzle platformer with funky physics and mind boggling puzzles requiring out-of-the-box thinking and persistence. Only a few players were able to complete the game. Can you handle it?
22939,877910,Time Drifter,2018-07-29,1,Lonely Boy Studio Inc.,Lonely Boy Studio Inc.,windows,0,Single-player,Action;Adventure;Casual;Free to Play;Indie,Free to Play;Action;Indie,0,68,16,0,0,0-20000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/877910/header.jpg?t=1532919465,https://steamcdn-a.akamaihd.net/steam/apps/877910/page_bg_generated_v6b.jpg?t=1532919465,Drift your way through time to save humanity from an evil panda.
626,33460,From Dust,2011-08-17,1,Ubisoft Montpellier,Ubisoft,windows,0,Single-player,Adventure;Simulation,God Game;Simulation;Adventure,0,1356,750,358,399,200000-500000,8.59,https://steamcdn-a.akamaihd.net/steam/apps/33460/header.jpg?t=1452181703,https://steamcdn-a.akamaihd.net/steam/apps/33460/page_bg_generated_v6b.jpg?t=1452181703,Immerse yourself in a world as exotically beautiful as it is dangerous in this modern God-Game where Nature is the Star!
26572,1025740,The Woods: VR Escape the Room,2019-04-04,1,Blue Entropy Studios,Blue Entropy Studios,windows,0,Single-player,Adventure;Indie;Strategy,Adventure;Indie;Strategy,0,3,7,0,0,0-20000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/1025740/header.jpg?t=1554401726,https://steamcdn-a.akamaihd.net/steam/apps/1025740/page_bg_generated_v6b.jpg?t=1554401726,"After a walk in the woods, you find yourself locked in a swaying cage above the forest floor, with no recollection of how you got there. Discover the mysteries this forest has to offer. Solve puzzles, decipher ancient texts, and uncover the mystical secrets hidden within these woods for many years."
13689,603130,Masked Shooters,2017-05-21,1,FreezeNova,FreezeNova,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards,Action;Indie,Action;Indie;FPS,13,70,31,91,91,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/603130/header.jpg?t=1532104100,https://steamcdn-a.akamaihd.net/steam/apps/603130/page_bg_generated_v6b.jpg?t=1532104100,Masked Shooters features covert operational soldiers who are armed with advanced weaponry.
16965,703270,"Run my little pixel",2017-10-21,1,Zloy Krot Studio,Zloy Krot Studio,windows,0,Single-player,Casual;Indie,Indie;Casual,0,8,7,0,0,0-20000,2.07,https://steamcdn-a.akamaihd.net/steam/apps/703270/header.jpg?t=1531758809,https://steamcdn-a.akamaihd.net/steam/apps/703270/page_bg_generated_v6b.jpg?t=1531758809,This is the runner-game divided into three layers. Here you must avoid barriers and cope with the enemies. You will come across many exciting levels and hardcore bosses. The game is made in the style of Flat.
747,39520,The Guild Gold Edition,2014-09-09,1,4HEAD Studios,THQ Nordic,windows,0,Single-player;Multi-player,Simulation;Strategy,Strategy;Simulation;Economy,0,175,75,28,39,100000-200000,8.99,https://steamcdn-a.akamaihd.net/steam/apps/39520/header.jpg?t=1533042210,https://steamcdn-a.akamaihd.net/steam/apps/39520/page_bg_generated_v6b.jpg?t=1533042210,"It’s the year 1400- the late Middle Ages. Europe sees the dawn of the golden age of the new departures and the free spirit. Under the rule of the bourgeoisie and businessmen, more and more towns are emerging from the clutches of the aristocracy and are achieving independence, power and wealth."
9003,466210,Race & Destroy,2016-05-16,1,AngryAngelGames,IceTorch Interactive,windows,0,Single-player;Steam Trading Cards,Action;Casual;Indie;Racing;Simulation;Sports,Racing;Simulation;Sports,0,3,8,0,0,0-20000,1.59,https://steamcdn-a.akamaihd.net/steam/apps/466210/header.jpg?t=1545122477,https://steamcdn-a.akamaihd.net/steam/apps/466210/page_bg_generated_v6b.jpg?t=1545122477,"Race&amp;Destroy is an alternative view of racing genre in total. Earn money, upgrade and repair your car or buy a better car."
2275,263760,Turbo Dismount™,2014-05-21,1,Secret Exit Ltd.,Secret Exit Ltd.,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Stats;Steam Leaderboards;Includes level editor,Action;Indie;Simulation,Funny;Simulation;Physics,23,3800,346,295,391,200000-500000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/263760/header.jpg?t=1478087736,https://steamcdn-a.akamaihd.net/steam/apps/263760/page_bg_generated_v6b.jpg?t=1478087736,Turbo Dismount is a kinetic tragedy about Mr. Dismount and the cars who love him. It is the official sequel to the wildly popular and immensely successful personal impact simulator - Stair Dismount.
725,38230,Hotel Giant 2,2010-01-27,1,"Enlight Software Limited PerspectX",Toplitz Productions,windows,0,Single-player;Steam Achievements;Steam Cloud;Stats,Simulation,Simulation;Management,13,66,95,0,0,20000-50000,5.59,https://steamcdn-a.akamaihd.net/steam/apps/38230/header.jpg?t=1528728466,https://steamcdn-a.akamaihd.net/steam/apps/38230/page_bg_generated_v6b.jpg?t=1528728466,"Following its international success, Hotel Giant is back and bigger than ever. In Hotel Giant 2 you will create the hotel of your dreams and manage prestigious locations around the world. Your goal is to attract as many guests as possible and make sure they are satisfied throughout their stay."
4456,340220,Shadows of War,2015-01-02,1,TRI.G,TRI.G,windows;linux,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Indie;Strategy,Strategy;Indie;2D,25,52,90,238,238,20000-50000,2.09,https://steamcdn-a.akamaihd.net/steam/apps/340220/header.jpg?t=1524262670,https://steamcdn-a.akamaihd.net/steam/apps/340220/page_bg_generated_v6b.jpg?t=1524262670,Shadows of War is a 2D Real-Time Strategy sidescroller game. The game combines classical RTS elements with new ideas into a 2D game.
2973,292260,"Spy Fox 3 ""Operation Ozone""",2014-05-15,1,Humongous Entertainment,Humongous Entertainment;Nightdive Studios,windows;mac;linux,0,Single-player;Steam Cloud,Adventure;Casual,Adventure;Casual;Point & Click,0,58,11,0,0,20000-50000,4.99,https://steamcdn-a.akamaihd.net/steam/apps/292260/header.jpg?t=1554314859,https://steamcdn-a.akamaihd.net/steam/apps/292260/page_bg_generated_v6b.jpg?t=1554314859,"A huge hairspray space station is blasting vile vapors into the ozone, putting Earth at the mercy of the sun's rays. With her paw on the nozzle, Poodles Galore unleashes her plot to corner the sunscreen market. It's up to SPY Fox and his friends to &quot;can&quot; Poodles and save the planet."
18107,736180,EX0: Dark Moon,2017-12-08,1,Pixel Six Games,Pixel Six Games,windows,0,Single-player,Adventure;Indie,Adventure;Indie,0,3,0,0,0,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/736180/header.jpg?t=1512744236,https://steamcdn-a.akamaihd.net/steam/apps/736180/page_bg_generated_v6b.jpg?t=1512744236,"An indie retro-ish puzzle platformer where you must upgrade your stats to run, jump, and shoot your way through each level and beat the evil dark slimes."
17214,710160,Mula: The Cycle of Shadow,2017-12-15,1,Boozer Game Studios,Boozer Game Studios,windows,0,Single-player;Steam Achievements;Full controller support,Indie,Indie;Platformer;Action,28,3,1,0,0,0-20000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/710160/header.jpg?t=1529674691,https://steamcdn-a.akamaihd.net/steam/apps/710160/page_bg_generated_v6b.jpg?t=1529674691,"Mula is the story of the protagonist Wave a survivor of the dark invasion on the land of Mula. Finds himself to be the next guardian that will prevent the invasion, at the cost of his existence. As it was always been done."
13134,586980,MadOut2 BigCityOnline,2017-02-21,1,MadOut Games,MadOut Games,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;In-App Purchases;Partial Controller Support,Action;Indie;Racing;Simulation;Sports,Indie;Action;Racing,0,367,180,204,215,50000-100000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/586980/header.jpg?t=1533530711,https://steamcdn-a.akamaihd.net/steam/apps/586980/page_bg_generated_v6b.jpg?t=1533530711,"Open world game, with free roam game play, many cars, missions and - online mode!"
145,4900,Zen of Sudoku,2006-12-14,1,Unknown Worlds Entertainment,Unknown Worlds Entertainment,windows,0,Single-player,Casual;Indie,Casual;Indie;Puzzle,0,122,17,0,0,0-20000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/4900/header.jpg?t=1513414875,https://steamcdn-a.akamaihd.net/steam/apps/4900/page_bg_generated_v6b.jpg?t=1513414875,"From the creators of Natural Selection comes Zen of Sudoku, a relaxing, easy to play version of Sudoku for your PC.Relax with hand-painted Japanese-styled backgrounds, no timer and lush natural soundscapes.Stimulates your brain to keep it healthy and alert."
39,1690,Space Empires V,2006-10-16,1,Malfador Machinations,Strategy First,windows,0,Single-player;Multi-player,Strategy,Strategy;4X;Space,0,191,85,35,35,50000-100000,10.99,https://steamcdn-a.akamaihd.net/steam/apps/1690/header.jpg?t=1447350865,https://steamcdn-a.akamaihd.net/steam/apps/1690/page_bg_generated_v6b.jpg?t=1447350865,"Space Empires V is the latest edition in the Space Empires series. This new chapter completely updates the UI and takes the player into a real-time rendered 3D universe. Watch space battles played out in glorious detail and realistic effects. Expand, Explore, Exploit, and Exterminate in a huge living breathing galaxy."
18349,744450,Water Density,2017-12-14,1,Quail Island Software Limited,Quail Island Software Limited,windows,0,Single-player,Action;Simulation;Strategy,Action;Strategy;Simulation,0,0,1,0,0,0-20000,5.19,https://steamcdn-a.akamaihd.net/steam/apps/744450/header.jpg?t=1535152851,https://steamcdn-a.akamaihd.net/steam/apps/744450/page_bg_generated_v6b.jpg?t=1535152851,"Water Density is an digging game where the goal is to obtain the most Heavy Water. Use a wheel loader to create a road for your tanker to transport water back to your ship. Fly a drone to scout the landscape and tunnels, to find water."
14270,622420,Stay Alive: Apocalypse,2018-01-15,1,Mehan Games,Mehan Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Indie;RPG;Simulation;Early Access,Early Access;RPG;Simulation,38,95,23,0,0,0-20000,11.39,https://steamcdn-a.akamaihd.net/steam/apps/622420/header.jpg?t=1526502368,https://steamcdn-a.akamaihd.net/steam/apps/622420/page_bg_generated_v6b.jpg?t=1526502368,"You ever played a Sandbox Survival Zombie RPG? You heard it right. In &quot;Stay Alive: Apocalypse&quot; we will offer you an indie zombie survival game which is in a sandbox, random generated world and presents RPG elements."
14847,645480,Spider-Man: Homecoming - Virtual Reality Experience,2017-06-30,1,CreateVR,Sony Pictures Virtual Reality,windows,0,Single-player,Action;Adventure,Action;Adventure;VR,0,196,126,9,9,100000-200000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/645480/header.jpg?t=1498846386,https://steamcdn-a.akamaihd.net/steam/apps/645480/page_bg_generated_v6b.jpg?t=1498846386,"For the first time, you can suit up as Spider-Man and see what it’s like to be the world’s favorite superhero. Learn the ins and outs of your brand new Stark Industries upgraded web shooters and master different web types as you race to complete fast-paced targeting trials."
18927,760030,Dizzy Dungeon,2018-05-07,1,DigiFeather,DigiFeather,windows;mac,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Indie;RPG;Strategy,Strategy;RPG;Indie,40,16,2,0,0,0-20000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/760030/header.jpg?t=1525678251,https://steamcdn-a.akamaihd.net/steam/apps/760030/page_bg_generated_v6b.jpg?t=1525678251,"Move, rotate and fall. Move, rotate and fall. Get ready for dizziness, find to best strategy to conquer the dungeon."
25719,982900,Cat puzzle🐱,2018-11-21,1,Sly,SlyGames,windows;mac;linux,0,Single-player;Steam Achievements,Casual;Indie,Casual;Indie,1,18,8,0,0,0-20000,3.98,https://steamcdn-a.akamaihd.net/steam/apps/982900/header.jpg?t=1553128106,https://steamcdn-a.akamaihd.net/steam/apps/982900/page_bg_generated_v6b.jpg?t=1553128106,Cat puzzle🐱 is simple puzzle game where you need to make a complete picture of a cat from small fragments. Make pictures and pump your mind!
16449,688360,Destiny of Blood / 血之命运,2017-08-25,1,tengenstudio,tengenstudio,windows,0,Single-player;Steam Achievements;Steam Cloud,Indie;RPG;Strategy;Early Access,Early Access;Strategy;RPG,41,39,20,0,0,0-20000,1.69,https://steamcdn-a.akamaihd.net/steam/apps/688360/header.jpg?t=1556380450,https://steamcdn-a.akamaihd.net/steam/apps/688360/page_bg_generated_v6b.jpg?t=1556380450,"Destiny of Blood is a turn-based strategy game. This original storyline is outside of this world starring two garrulous main characters that set out on a magical adventure. This game recalls the classics, it uses the ancient Japanese war-game’s combat and operating system, honoring many classical war-games."
18611,751220,ETHEREAL,2019-03-07,1,Nicolás Recabarren;Tomás Batista,Nonsense Arts,windows;mac,0,Single-player;Full controller support,Indie,Indie;Puzzle;Abstract,8,37,1,0,0,0-20000,7.19,https://steamcdn-a.akamaihd.net/steam/apps/751220/header.jpg?t=1556113441,https://steamcdn-a.akamaihd.net/steam/apps/751220/page_bg_generated_v6b.jpg?t=1556113441,A profound experience that carries players into an unknown and mysterious world surrounded by carefully designed puzzles...
21998,850780,Battle Royale Bootcamp,2018-05-22,1,Evan Murray,Evan Murray,windows,0,Single-player,Action;Casual;Simulation;Early Access,Early Access;Action;Casual,0,10,6,0,0,0-20000,4.79,https://steamcdn-a.akamaihd.net/steam/apps/850780/header.jpg?t=1543326085,https://steamcdn-a.akamaihd.net/steam/apps/850780/page_bg_generated_v6b.jpg?t=1543326085,"Battle Royale Bootcamp is an action-packed battle royale aim trainer. Train your reflexes, aim, recoil control and awareness before you hit your favourite online multiplayer BR games!"
21773,843890,WIN THE GAME: DO IT!,2018-05-02,1,AFBIK Studio,AFBIK Studio,windows,0,Single-player;Steam Achievements,Action;Casual;Indie,Action;Indie;Casual,4977,97,75,0,0,20000-50000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/843890/header.jpg?t=1525249519,https://steamcdn-a.akamaihd.net/steam/apps/843890/page_bg_generated_v6b.jpg?t=1525249519,WIN THE GAME: DO IT! - is a hardcore game. Try to finish the game without spending your nerves.
15433,661800,Mad Muzzles,2017-07-19,1,hallunazigames,hallunazigames,windows,0,Single-player;Steam Achievements,Casual;Indie;Strategy,Strategy;Indie;Casual,6,74,39,0,0,20000-50000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/661800/header.jpg?t=1524326379,https://steamcdn-a.akamaihd.net/steam/apps/661800/page_bg_generated_v6b.jpg?t=1524326379,"Tired of shooters and survivors? Rest and mash the brain with a logical game three in a row. The game will be interesting not only to boys and girls, but also to their parents. A lot of levels, from light to hard. Mad Muzzles will be remembered to you and leave a pleasant impression for a long time."
10882,525500,Candy Kingdom VR,2016-09-20,1,Gameplay Studio VR,Gameplay Studio VR,windows,0,Single-player;Steam Achievements;Steam Leaderboards,Action;Adventure;Casual;Indie,Action;Adventure;Indie,11,28,8,0,0,0-20000,4.79,https://steamcdn-a.akamaihd.net/steam/apps/525500/header.jpg?t=1546307483,https://steamcdn-a.akamaihd.net/steam/apps/525500/page_bg_generated_v6b.jpg?t=1546307483,Candy Kingdom is a wonderful VR candy shooting game! The kingdom needs a new king! Will you be the new king?
930,55150,"Warhammer 40000: Space Marine",2011-09-08,1,Relic,SEGA,windows,18,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Leaderboards,Action,Warhammer 40K;Action;Third-Person Shooter,60,9847,998,712,537,2000000-5000000,19.99,https://steamcdn-a.akamaihd.net/steam/apps/55150/header.jpg?t=1528131586,https://steamcdn-a.akamaihd.net/steam/apps/55150/page_bg_generated_v6b.jpg?t=1528131586,"In Warhammer® 40,000® Space Marine® you are Captain Titus, a Space Marine of the Ultramarines chapter and a seasoned veteran of countless battles."
11265,535760,Unforgiving Trials: The Space Crusade,2016-10-07,1,Amaterasu Software,Amaterasu Software,windows,0,Single-player;Steam Trading Cards,Adventure;Indie;RPG,Adventure;Indie;RPG,0,144,100,243,233,200000-500000,0.99,https://steamcdn-a.akamaihd.net/steam/apps/535760/header.jpg?t=1475876908,https://steamcdn-a.akamaihd.net/steam/apps/535760/page_bg_generated_v6b.jpg?t=1475876908,"The world is dying. Many years after the banishment of the evil that plagued the land, the world was hit by waves of unbearable heat. Now in order to save the world the band of young adventurers have set upon a quest to vanquish the Sun."
18011,732980,Keyscaper,2017-10-30,1,FomoonSoft,FomoonSoft,windows,0,Multi-player;Online Multi-Player,Violent;Action;Indie;Early Access,Early Access;Action;Indie,0,3,0,0,0,0-20000,5.79,https://steamcdn-a.akamaihd.net/steam/apps/732980/header.jpg?t=1509369698,https://steamcdn-a.akamaihd.net/steam/apps/732980/page_bg_generated_v6b.jpg?t=1509369698,Collect all the keys to escape the hotel and win the game. Kill the enemy and show off your skills.
11946,554330,Choppa,2017-02-23,1,Parta Games Oy,Parta Games Oy,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats;Steam Leaderboards,Action;Casual;Indie,Casual;Indie;Action,29,33,4,5,5,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/554330/header.jpg?t=1549278383,https://steamcdn-a.akamaihd.net/steam/apps/554330/page_bg_generated_v6b.jpg?t=1549278383,"You are Rick Guiver, a reckless coast guard rescue helicopter pilot. A terrible oilrig catastrophe has happened in the coast! Against your superiors' orders and better judgement you jump in your helicopter and fly to the danger zone! There's no time to lose, save as many people as you can!"
1647,231330,Deadfall Adventures,2013-11-15,1,The Farm 51,THQ Nordic,windows;linux,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Adventure,Adventure;Action;FPS,50,1474,572,0,0,100000-200000,17.99,https://steamcdn-a.akamaihd.net/steam/apps/231330/header.jpg?t=1493809138,https://steamcdn-a.akamaihd.net/steam/apps/231330/page_bg_generated_v6b.jpg?t=1493809138,"Deadfall Adventures is an action-driven first-person shooter, spiced up with elements from action-adventure games. Become an adventurer, hunt for treasures, explore unknown regions of the world and rescue the damsel in distress from the clutches of enemies, both earthly and not-so-earthly."
1730,236470,PAC-MAN MUSEUM™,2014-02-25,1,BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Leaderboards,Action,Arcade;Classic;Retro,12,120,80,0,0,20000-50000,14.99,https://steamcdn-a.akamaihd.net/steam/apps/236470/header.jpg?t=1447357726,https://steamcdn-a.akamaihd.net/steam/apps/236470/page_bg_generated_v6b.jpg?t=1447357726,"PAC-MAN stars in a nostalgia-packed collection of the greatest PAC-MAN games of all time. PAC-MAN MUSEUM will include classic PAC-MAN titles as well as newer releases, allowing gamers to play through the evolution of PAC-MAN from his humble beginnings from 1980 through current hits like PAC-MAN Championship Edition and PAC-MAN Battle..."
24010,915020,THE E BALL,2018-08-31,1,meokigame,meokigame,windows,0,Single-player;Steam Achievements,Indie;RPG;Simulation;Strategy,Indie;Strategy;Simulation,43,8,1,0,0,0-20000,0.99,https://steamcdn-a.akamaihd.net/steam/apps/915020/header.jpg?t=1541585458,https://steamcdn-a.akamaihd.net/steam/apps/915020/page_bg_generated_v6b.jpg?t=1541585458,This hardcore! Jump Up a funny ball with the mouse and collect amazing bonuses.
20406,801380,MOVIT,2018-03-14,1,A.M. Bosch,Bosch Games,windows;linux,0,Single-player;Steam Achievements,Indie,Indie;Puzzle;Great Soundtrack,7,1,1,0,0,0-20000,2.19,https://steamcdn-a.akamaihd.net/steam/apps/801380/header.jpg?t=1521062152,https://steamcdn-a.akamaihd.net/steam/apps/801380/page_bg_generated_v6b.jpg?t=1521062152,MOVIT is a minimalistic puzzle game with a relaxing soundtrack. Discover the mechanics of each puzzle element while you slide towards victory. Get it now!
7855,434700,Forgotten Ball,2016-03-03,1,littleGigantic,littleGigantic,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Indie,Indie;Platformer;Puzzle,27,13,3,0,0,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/434700/header.jpg?t=1456995696,https://steamcdn-a.akamaihd.net/steam/apps/434700/page_bg_generated_v6b.jpg?t=1456995696,A classically inspired modern ball simulation platformer. Control a singular ball through a cubic towering labyrinth. Overcome challenging platforms and puzzles whilst ascending a seamless connected huge world.
1997,252030,Valdis Story: Abyssal City,2013-10-30,1,Endlessfluff Games,Endlessfluff Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud;Steam Leaderboards,Action;Indie;RPG,Metroidvania;Action;RPG,77,1934,345,1234,2353,100000-200000,10.99,https://steamcdn-a.akamaihd.net/steam/apps/252030/header.jpg?t=1544621869,https://steamcdn-a.akamaihd.net/steam/apps/252030/page_bg_generated_v6b.jpg?t=1544621869,"Assume the role of Wyatt in this Action/Exploration Platformer as you explore the ruins of a holy city that was lost many years ago. Battle various types of demons, angels, and a new threat known only as the “Ferals”, using swordsmanship, martial arts, and sorcery."
13688,603120,Happy Campers,2017-04-10,1,Razzart Visual,Razzart Visual,windows;mac;linux,18,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Casual,Sexual Content;Nudity;Casual,12,28,31,0,0,0-20000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/603120/header.jpg?t=1537263273,https://steamcdn-a.akamaihd.net/steam/apps/603120/page_bg_generated_v6b.jpg?t=1537263273,&quot;Happy Campers&quot; is a lighthearted visual novel where you must learn to survive in the wilderness alongside three beautiful women.
211,8320,Bone: The Great Cow Race,2008-06-17,1,Telltale Games,Telltale Games,windows,0,Single-player,Adventure,Adventure;Point & Click,0,44,33,0,0,100000-200000,0.0,https://steamcdn-a.akamaihd.net/steam/apps/8320/header.jpg?t=1447351351,https://steamcdn-a.akamaihd.net/steam/apps/8320/page_bg_generated_v6b.jpg?t=1447351351,"It's spring fair time and The Great Cow Race is about to begin! Play carnival games. Write love poetry. Outsmart a really big bee. Cheat the locals out of their hard-earned eggs. Bang on some pots and pans. Escape from an angry mob. Oh, and dress up like a cow. (Not necessarily in that order."
18537,749200,Offensive Dimensions,2017-11-24,1,OmicGames,OmicGames,windows,0,Single-player;Local Co-op;Shared/Split Screen;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,42,6,0,0,0,0-20000,2.89,https://steamcdn-a.akamaihd.net/steam/apps/749200/header.jpg?t=1520491602,https://steamcdn-a.akamaihd.net/steam/apps/749200/page_bg_generated_v6b.jpg?t=1520491602,"Offensive Dimensions is a hardcore, dark themed, retro 2d action game. Currently is in early access phase. This game tests your 2d action gaming skill. You need to smash everything and make it to the next area before time is up. The demo version is available for downloading. Please try that first."
5547,367270,Angels Fall First,2015-10-01,1,Strangely Interactive Ltd,Strangely Interactive Ltd,windows,0,Single-player;Multi-player;Partial Controller Support;Steam Cloud;Stats,Action;Simulation;Early Access,Early Access;Action;FPS,0,1557,341,0,0,50000-100000,13.37,https://steamcdn-a.akamaihd.net/steam/apps/367270/header.jpg?t=1519520415,https://steamcdn-a.akamaihd.net/steam/apps/367270/page_bg_generated_v6b.jpg?t=1519520415,"From commanding the battle standing on the bridge of your flagship all the way down to tactical infantry firefights - AFF brings together all the combat you ever wanted in a rich science fiction setting. Boarding, pilotable capital ships, deep weapon customization and full AI support included!"
108,3710,Judge Dredd: Dredd vs. Death,2009-03-26,1,Rebellion,Rebellion,windows,0,Single-player;Multi-player;Co-op,Action,Action;FPS;First-Person,0,559,79,8,8,50000-100000,5.59,https://steamcdn-a.akamaihd.net/steam/apps/3710/header.jpg?t=1478600057,https://steamcdn-a.akamaihd.net/steam/apps/3710/page_bg_generated_v6b.jpg?t=1478600057,"Welcome to Mega-City One, a city of over 400 million people - every one of them a potential criminal. It is the third decade of the 22nd Century, unemployment is widespread, boredom is universal and only the Judges can prevent total anarchy. Empowered to dispense instant justice, they are Judge, Jury and Executioner all in one."
11580,545150,Beastiarium,2016-12-05,1,Fazan,Fazan,windows,0,Single-player;Full controller support,Action;Adventure;Indie,Indie;Adventure;Horror,0,59,50,205,212,50000-100000,9.99,https://steamcdn-a.akamaihd.net/steam/apps/545150/header.jpg?t=1481291485,https://steamcdn-a.akamaihd.net/steam/apps/545150/page_bg_generated_v6b.jpg?t=1481291485,"Beastiarium — plunge into the mysterious world full of secrets and monsters, its atmosphere will keep you in suspense throughout the story. The action takes place in underground Petersburg in the beginning of 20th century, one hundred years later since the monsters invaded the planet."
10532,514920,Crash Wheels,2018-12-20,1,Quiet River,Quiet River,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Indie;Racing,Racing;Indie;Destruction,1224,219,72,0,0,50000-100000,3.99,https://steamcdn-a.akamaihd.net/steam/apps/514920/header.jpg?t=1545329882,https://steamcdn-a.akamaihd.net/steam/apps/514920/page_bg_generated_v6b.jpg?t=1545329882,Arcade racing with the physics of damage
16604,692260,Hard Era: The Fantasy Defence,2018-04-06,1,Siberian Digital,Siberian Digital,windows,0,Single-player,Adventure;Indie;RPG;Simulation;Strategy,Simulation;Strategy;Adventure,0,13,12,0,0,0-20000,3.19,https://steamcdn-a.akamaihd.net/steam/apps/692260/header.jpg?t=1527705304,https://steamcdn-a.akamaihd.net/steam/apps/692260/page_bg_generated_v6b.jpg?t=1527705304,"Hard Era: The Fantasy Defence - mind-boggling game with many possibilities. See yourself as supreme governor: control combats on battlefield, slowly diving into charming atmosphere of fantasy world."
26558,1025000,Puzzle 101: Edge of Galaxy 宇宙边际,2019-03-14,1,Black Phoenix Studio,Black Phoenix Studio,windows;mac;linux,0,Single-player;Steam Achievements;Steam Cloud;Steam Leaderboards,Casual;Indie,Indie;Casual;Puzzle,92,1,0,0,0,0-20000,4.79,https://steamcdn-a.akamaihd.net/steam/apps/1025000/header.jpg?t=1552609794,https://steamcdn-a.akamaihd.net/steam/apps/1025000/page_bg_generated_v6b.jpg?t=1552609794,Edge Of Galaxy - very beautiful game of space puzzle! Collect the full image of the different small pieces.
3464,308520,Minimon,2015-03-25,1,Lunar Labs,Lunar Labs,windows;mac;linux,0,Single-player;Multi-player;MMO;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Stats;Steam Leaderboards,Indie;Massively Multiplayer;RPG;Early Access,Early Access;Indie;RPG,39,40,36,0,0,0-20000,6.99,https://steamcdn-a.akamaihd.net/steam/apps/308520/header.jpg?t=1491494297,https://steamcdn-a.akamaihd.net/steam/apps/308520/page_bg_generated_v6b.jpg?t=1491494297,"Start an adventure in a world full of monster hunters! A huge monster RPG that can be played either in single player or MMORPG mode. Includes PvP, trading, split screen, gamepad support and cross-platform online support!"
9413,486300,Plan Z Chapter 1,2016-06-05,1,Kongmeng Yang,Kongmeng Yang,windows,0,Single-player,Adventure;Indie,Adventure;Indie,0,7,11,0,0,0-20000,0.79,https://steamcdn-a.akamaihd.net/steam/apps/486300/header.jpg?t=1465189495,https://steamcdn-a.akamaihd.net/steam/apps/486300/page_bg_generated_v6b.jpg?t=1465189495,"Plan Z is a true-to-life post-apocalyptic zombie survival game that includes an imminent nuclear meltdown, which shapes your every decision in the game to survive. Players will follow Gary Gannon from his home city of Green Bay, WI on his journey across a zombie-infested country to reach the west coast, where his father resides."
24329,928350,Steven the Sperm,2018-09-12,1,Peter Simmons,Perfect Acorn,windows;mac,0,Single-player;Steam Achievements,Action;Adventure;Indie,Action;Indie;Adventure,14,1,1,0,0,0-20000,1.69,https://steamcdn-a.akamaihd.net/steam/apps/928350/header.jpg?t=1536774955,https://steamcdn-a.akamaihd.net/steam/apps/928350/page_bg_generated_v6b.jpg?t=1536774955,"Take control of Steven, a sperm who must survive deadly spermicide on his way to the egg! Swim, dash, and squirm through 6 stages of action and thrills! Can you make it to the egg?"
